Droplet-Film model,PySINDY model,XGBoost model,Liquid film model,Liquid droplet model,,Qcr,Well status,Qlattice model,,TabPFN model,Test flow rate
33767.547645547726,258090.26335602195,241843.72,5.008015756086048e-05,2898.4555913125405,,244859.6346768434,Loaded,228587.2829645921,,234736.31,13308.91809
208269.36294316084,187899.2008381204,207130.33,0.000112821,46717.87250877602,,208274.48899884464,Loaded,214794.19923312665,,218661.84,14158.4235
367546.02346992365,-182793.5186,282322.1,0.002953013,9760.441298450367,,366306.2486544744,Loaded,235947.12991206616,,180035.16,162538.7018
10650.430259279758,9392.840021657801,12979.44,0.000452471,332095.11721617554,,11808.1252,Near L.U,72559.684,,7381.932,11808.1252
305305.36586523545,83594.15101569862,349458.5,0.002452871,11273.768198130454,,320208.01063681097,Loaded,241922.1193264727,,197209.39,110152.5348
12600.883329038781,-39920.75713,13844.972,0.000179116,16290.735589050584,,12516.04637,Near L.U,72975.72848,,8744.745,12516.04637
304244.35385418445,148544.69601567913,182794.86,0.000451681,601.5185017463477,,179334.8572823233,Loaded,243988.2396247163,,235824.5,78720.83466
289478.3844786189,320652.7972929713,279053.03,0.00084503,4373.606175584698,,289642.33816385176,Loaded,245384.2637498402,,278109.6,46382.99539
139511.30323895637,236298.09796194016,227618.08,4.816305211386806e-05,5242.456626284849,,228864.32584693417,Loaded,225843.57082758707,,228398.8,11326.7388
28358.498998556348,235781.68764431676,219838.88,5.400054797572231e-05,22931.731210031627,,220386.89169587768,Loaded,171293.31655430136,,216492.53,22653.4776
20420.213961588986,65188.70086103998,23607.033,0.000319477,39579.33517833462,,20161.59506,Near L.U,73724.60800787236,,12258.886,20161.59506
479750.15007783746,156442.52232891927,48484.56,0.000712077,39765.86695625814,,45505.17313,Near L.U,107387.45738915677,,25310.62,45505.17313
377835.8659051418,374652.5296838458,371947.44,0.000720514,21876.035225746968,,377764.2045889407,Loaded,253514.60784416323,,342951.75,121762.4421
273703.1754,248669.1488717433,272505.1,0.000896699,90941.95569387799,,273827.7976566633,Loaded,110034.71238593984,,228736.66,37180.02011
23590.03039026413,41351.49231397448,22821.252,0.000788233,84818.66417059967,,21945.55643,Near L.U,110400.45199686717,,19363.846,21945.55643
182949.77434538837,193452.47022351102,182118.44,0.001115076,140701.6501250026,,182974.3047313032,Loaded,111010.01720114716,,238450.98,35311.10821
196326.89900363344,192890.2726234521,256498.83,0.00119663,147216.4355021323,,258899.36375017045,Loaded,112089.8186992199,,241815.78,38397.64453
260344.03319014472,193360.0945584821,257540.55,0.000611634,37507.99972994577,,260292.01284109088,Loaded,116966.34033345993,,237871.48,38652.49616
29449.352207397205,163983.6859949174,32974.973,0.000496109,4067.4905195414367,,29775.072973276176,Unloaded,277026.79676958243,,170484.89,156110.7775
397600.21672315703,256365.50441226666,382451.7,0.000737804,10830.09127,,397611.4160552688,Loaded,280709.8095732273,,342227.44,137138.49
